order_external_id,customer_code,order_date,line_no,sku,qty,unit_price_cents,currency
EXT-520089,CUST-15,2024-06-15,1,SKU-FUX,14,4825,ZAR
EXT-520089,CUST-15,2024-06-15,2,SKU-DEY,25,130875,ZAR
EXT-520089,CUST-15,2024-06-15,3,SKU-CIZ,15,86822,ZAR
EXT-520131,CUST-10,2024-07-03,1,SKU-AUZ,16,109880,ZAR
EXT-520131,CUST-10,2024-07-03,2,SKU-HAX,3,124800,ZAR
EXT-520131,CUST-10,2024-07-03,3,SKU-EEX,6,171221,ZAR
EXT-520240,CUST-16,2024-07-28,1,SKU-BUY,21,165044,ZAR
EXT-520240,CUST-16,2024-07-28,2,SKU-BOY,22,63121,ZAR
EXT-520240,CUST-16,2024-07-28,3,SKU-EEZ,2,72146,ZAR
EXT-520014,CUST-01,2024-06-21,1,SKU-HIY,2,172023,ZAR
EXT-520014,CUST-01,2024-06-21,2,SKU-DUY,2,81468,ZAR
EXT-520014,CUST-01,2024-06-21,3,SKU-FUY,14,47118,ZAR
EXT-520216,CUST-01,2024-06-28,1,SKU-EOX,6,28070,ZAR
EXT-520428,CUST-18,2024-06-16,1,SKU-GOX,15,154134,ZAR
EXT-520428,CUST-18,2024-06-16,2,SKU-AIX,21,142183,ZAR
EXT-520248,CUST-09,2024-07-05,1,SKU-HAY,23,12698,ZAR
EXT-520326,CUST-19,2024-06-28,1,SKU-GEX,16,177479,ZAR
EXT-520326,CUST-19,2024-06-28,2,SKU-AEX,23,8506,ZAR
EXT-520041,CUST-15,2024-07-18,1,SKU-BIZ,11,169208,ZAR
EXT-1008,CUST-02,2024-07-11,1,SKU-NNN,2,800,ZAR
EXT-1008,CUST-02,2024-07-11,2,SKU-OOO,1,1500,ZAR
EXT-520414,CUST-03,2024-07-28,1,SKU-AIX,11,105668,ZAR
EXT-520022,CUST-09,2024-06-15,1,SKU-CUY,7,32512,ZAR
EXT-520419,CUST-14,2024-06-07,1,SKU-FIY,23,130688,ZAR
EXT-520231,CUST-17,2024-07-08,1,SKU-AEY,8,202853,ZAR
EXT-520231,CUST-17,2024-07-08,2,SKU-DAZ,2,11835,ZAR
EXT-520231,CUST-17,2024-07-08,3,SKU-DAY,3,199583,ZAR
EXT-520354,CUST-20,2024-07-21,1,SKU-DUX,10,26732,ZAR
