order_external_id,customer_code,order_date,line_no,sku,qty,unit_price_cents,currency
EXT-630446,CUST-15,2024-06-04,1,SKU-FOZ,24,109540,ZAR
EXT-630347,CUST-07,2024-06-01,1,SKU-DIZ,12,165489,ZAR
EXT-630421,CUST-14,2024-06-03,1,SKU-EEY,11,207132,ZAR
EXT-630421,CUST-14,2024-06-03,2,SKU-BUZ,4,19307,ZAR
EXT-630421,CUST-14,2024-06-03,3,SKU-HEY,10,51692,ZAR
EXT-630386,CUST-01,2024-07-24,1,SKU-AEY,22,214179,ZAR
EXT-630175,CUST-12,2024-06-17,1,SKU-GEX,1,151723,ZAR
EXT-630175,CUST-12,2024-06-17,2,SKU-COZ,18,247568,ZAR
EXT-9302,CUST-12,2024-07-13,1,SKU-QCB,2,100.0,ZAR
EXT-3044,CUST-04,2024-06-01,1,SKU-FOX,31,82174,ZAR
EXT-630239,CUST-01,2024-07-15,1,SKU-CAY,22,71764,ZAR
EXT-630025,CUST-05,2024-07-20,1,SKU-GOZ,17,21659,ZAR
EXT-630067,CUST-14,2024-06-02,1,SKU-HOY,19,147930,ZAR
EXT-630067,CUST-14,2024-06-02,2,SKU-HIY,10,186952,ZAR
EXT-630067,CUST-14,2024-06-02,3,SKU-COZ,25,216625,ZAR
EXT-1010,CUST-04,2024-07-10,1,SKU-LLL,1,1000,ZAR
EXT-630141,CUST-10,2024-07-09,1,SKU-HAZ,17,181155,ZAR
EXT-630222,CUST-15,2024-06-17,1,SKU-BEY,17,68661,ZAR
EXT-630222,CUST-15,2024-06-17,2,SKU-AOX,19,98373,ZAR
EXT-630222,CUST-15,2024-06-17,3,SKU-DOX,19,135499,ZAR
EXT-630325,CUST-15,2024-06-03,1,SKU-FIX,19,147303,ZAR
EXT-630325,CUST-15,2024-06-03,2,SKU-AUY,13,130169,ZAR
EXT-630164,CUST-03,2024-06-17,1,SKU-DAZ,22,37767,ZAR
EXT-630164,CUST-03,2024-06-17,2,SKU-CUY,14,120691,ZAR
EXT-630164,CUST-03,2024-06-17,3,SKU-BUX,2,210536,ZAR
EXT-630381,CUST-20,2024-06-05,1,SKU-CEY,10,213768,ZAR
EXT-630142,CUST-07,2024-06-16,1,SKU-EUY,10,10987,ZAR
EXT-630462,CUST-08,2024-07-04,1,SKU-CUX,24,49912,ZAR
EXT-630321,CUST-18,2024-07-07,1,SKU-COY,4,162849,ZAR
EXT-630321,CUST-18,2024-07-07,2,SKU-CUZ,14,93806,ZAR
EXT-630321,CUST-18,2024-07-07,3,SKU-FOX,8,62467,ZAR
EXT-630368,CUST-18,2024-06-25,1,SKU-FEX,15,92250,ZAR
EXT-630037,CUST-02,2024-06-26,1,SKU-FIZ,23,192109,ZAR
EXT-630196,CUST-18,2024-06-07,1,SKU-AAY,21,14513,ZAR
EXT-630196,CUST-18,2024-06-07,2,SKU-FEY,19,106795,ZAR
EXT-630196,CUST-18,2024-06-07,3,SKU-DAX,21,58467,ZAR
EXT-630438,CUST-19,2024-06-02,1,SKU-COX,6,32847,ZAR
EXT-630144,CUST-20,2024-06-25,1,SKU-DEZ,15,81552,ZAR
EXT-630144,CUST-20,2024-06-25,2,SKU-BUY,3,63532,ZAR
EXT-630273,CUST-20,2024-07-07,1,SKU-CEX,5,132252,ZAR
EXT-630273,CUST-20,2024-07-07,2,SKU-AIZ,24,159372,ZAR
EXT-630399,CUST-15,2024-06-22,1,SKU-HEY,12,20404,ZAR
EXT-630389,CUST-12,2024-06-22,1,SKU-AEZ,16,143082,ZAR
EXT-630119,CUST-11,2024-06-20,1,SKU-EIZ,22,90197,ZAR
EXT-630119,CUST-11,2024-06-20,2,SKU-AUY,10,38715,ZAR
EXT-630119,CUST-11,2024-06-20,3,SKU-AIY,14,229428,ZAR
EXT-630267,CUST-16,2024-07-06,1,SKU-FIY,10,2498,ZAR
EXT-630267,CUST-16,2024-07-06,2,SKU-DOZ,9,25487,ZAR
EXT-630352,CUST-08,2024-07-25,1,SKU-CEZ,13,47753,ZAR
EXT-630352,CUST-08,2024-07-25,2,SKU-DUZ,22,160370,ZAR
EXT-630352,CUST-08,2024-07-25,3,SKU-GEZ,7,189885,ZAR
EXT-630209,CUST-06,2024-06-06,1,SKU-GEY,2,130293,ZAR
EXT-630398,CUST-09,2024-06-14,1,SKU-CIZ,8,249480,ZAR
EXT-630398,CUST-09,2024-06-14,2,SKU-FAZ,24,8871,ZAR
EXT-630398,CUST-09,2024-06-14,3,SKU-HOX,6,23075,ZAR
EXT-630039,CUST-16,2024-06-12,1,SKU-BIZ,22,160133,ZAR
EXT-630039,CUST-16,2024-06-12,2,SKU-AAX,8,11292,ZAR
EXT-630039,CUST-16,2024-06-12,3,SKU-HOX,9,188572,ZAR
EXT-630034,CUST-08,2024-06-12,1,SKU-BAX,18,15865,ZAR
EXT-9309,CUST-12,2024-07-13,1,SKU-QCI,2,-1,ZAR
EXT-630009,CUST-20,2024-06-09,1,SKU-AAY,19,33307,ZAR
EXT-630156,CUST-11,2024-06-20,1,SKU-HAZ,12,190368,ZAR
EXT-630156,CUST-11,2024-06-20,2,SKU-GAY,19,165172,ZAR
EXT-630156,CUST-11,2024-06-20,3,SKU-DIY,10,209980,ZAR
EXT-630240,CUST-03,2024-06-20,1,SKU-AEY,25,105982,ZAR
EXT-630329,CUST-06,2024-07-22,1,SKU-EUY,2,65750,ZAR
EXT-630338,CUST-19,2024-06-10,1,SKU-FAY,12,223588,ZAR
EXT-630338,CUST-19,2024-06-10,2,SKU-AOZ,5,136124,ZAR
EXT-630338,CUST-19,2024-06-10,3,SKU-BAZ,23,42729,ZAR
EXT-630277,CUST-18,2024-07-28,1,SKU-HEZ,2,220287,ZAR
EXT-630277,CUST-18,2024-07-28,2,SKU-AOY,18,110381,ZAR
EXT-630277,CUST-18,2024-07-28,3,SKU-DOX,10,183377,ZAR
EXT-630213,CUST-13,2024-07-19,1,SKU-BUY,9,180692,ZAR
EXT-630213,CUST-13,2024-07-19,2,SKU-BIY,8,117896,ZAR
EXT-630213,CUST-13,2024-07-19,3,SKU-GIZ,17,90004,ZAR
EXT-630430,CUST-08,2024-07-19,1,SKU-CAX,24,25556,ZAR
EXT-630167,CUST-02,2024-06-20,1,SKU-FAX,9,185286,ZAR
EXT-630058,CUST-12,2024-07-11,1,SKU-EIX,10,84439,ZAR
EXT-630058,CUST-12,2024-07-11,2,SKU-CEZ,4,167739,ZAR
EXT-630210,CUST-20,2024-06-05,1,SKU-GUY,18,11974,ZAR
EXT-630160,CUST-03,2024-07-24,1,SKU-EAX,4,59118,ZAR
EXT-630160,CUST-03,2024-07-24,2,SKU-AEZ,5,224912,ZAR
EXT-630160,CUST-03,2024-07-24,3,SKU-DUY,4,112562,ZAR
EXT-630371,CUST-12,2024-07-23,1,SKU-DUZ,10,121895,ZAR
EXT-630371,CUST-12,2024-07-23,2,SKU-EUX,10,12340,ZAR
EXT-630379,CUST-14,2024-07-20,1,SKU-EEY,25,240081,ZAR
EXT-630083,CUST-11,2024-07-26,1,SKU-DOZ,7,57725,ZAR
EXT-630083,CUST-11,2024-07-26,2,SKU-GEX,15,219456,ZAR
EXT-630083,CUST-11,2024-07-26,3,SKU-AIZ,8,158787,ZAR
EXT-630284,CUST-12,2024-06-15,1,SKU-EUY,21,160010,ZAR
EXT-630284,CUST-12,2024-06-15,2,SKU-GUZ,3,228363,ZAR
EXT-630261,CUST-03,2024-07-27,1,SKU-DAZ,4,231202,ZAR
EXT-630261,CUST-03,2024-07-27,2,SKU-BEY,6,122356,ZAR
EXT-630458,CUST-06,2024-06-16,1,SKU-BEX,5,96391,ZAR
EXT-630047,CUST-17,2024-06-26,1,SKU-EAY,7,104282,ZAR
EXT-630047,CUST-17,2024-06-26,2,SKU-CUZ,12,225805,ZAR
EXT-630047,CUST-17,2024-06-26,3,SKU-DUX,17,134902,ZAR
EXT-630103,CUST-04,2024-07-28,1,SKU-EIZ,19,247196,ZAR
EXT-630103,CUST-04,2024-07-28,2,SKU-CUZ,8,115545,ZAR
EXT-630426,CUST-03,2024-07-06,1,SKU-FOX,23,192784,ZAR
EXT-630426,CUST-03,2024-07-06,2,SKU-FAX,5,224629,ZAR
EXT-630075,CUST-19,2024-07-20,1,SKU-BIY,19,167492,ZAR
EXT-630075,CUST-19,2024-07-20,2,SKU-DIZ,4,84702,ZAR
EXT-630074,CUST-20,2024-07-27,1,SKU-BUY,12,214222,ZAR
EXT-630074,CUST-20,2024-07-27,2,SKU-BAZ,4,64258,ZAR
EXT-630074,CUST-20,2024-07-27,3,SKU-DIY,4,30759,ZAR
EXT-630172,CUST-12,2024-06-08,1,SKU-COY,3,143287,ZAR
EXT-630113,CUST-10,2024-07-16,1,SKU-AEX,15,162704,ZAR
EXT-630113,CUST-10,2024-07-16,2,SKU-FUZ,6,17107,ZAR
EXT-630442,CUST-12,2024-07-21,1,SKU-COX,20,181138,ZAR
EXT-630442,CUST-12,2024-07-21,2,SKU-BEY,19,40184,ZAR
EXT-630080,CUST-01,2024-06-03,1,SKU-EUX,24,138159,ZAR
EXT-630005,CUST-07,2024-07-25,1,SKU-DEY,5,199519,ZAR
EXT-630005,CUST-07,2024-07-25,2,SKU-CUX,11,238451,ZAR
EXT-630005,CUST-07,2024-07-25,3,SKU-EAZ,16,234595,ZAR
EXT-630043,CUST-04,2024-06-22,1,SKU-BAX,20,171723,ZAR
EXT-630125,CUST-14,2024-06-11,1,SKU-EAX,24,89565,ZAR
EXT-630125,CUST-14,2024-06-11,2,SKU-AOY,5,177789,ZAR
EXT-630411,CUST-11,2024-07-07,1,SKU-COX,20,83441,ZAR
EXT-630411,CUST-11,2024-07-07,2,SKU-AIX,18,175219,ZAR
EXT-630411,CUST-11,2024-07-07,3,SKU-AIZ,15,5472,ZAR
EXT-3021,CUST-10,2024-07-11,1,SKU-DOY,17,12692,ZAR
EXT-3021,CUST-10,2024-07-11,2,SKU-DAY,3,209897,ZAR
EXT-3021,CUST-10,2024-07-11,3,SKU-FUY,13,118813,ZAR
EXT-3021,CUST-10,2024-07-11,4,SKU-FOY,7,149009,ZAR
